log_time_ns,header.frame_id,header.stamp.nanosec,header.stamp.sec,pose.orientation.roll,pose.orientation.pitch,pose.orientation.yaw,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.position.x,pose.position.y,pose.position.z
1709651572115378854,,113519906,1709651572,-0.0028760085179701947,-0.0017381202105428955,0.6383435928493504,-0.9494947791099548,0.0010926841059699655,0.0012763846898451447,-0.3137786388397217,-0.0890650749206543,-0.06215953826904297,0.0
1709651572120855607,,117686748,1709651572,-0.004120554607602124,-0.0016923364671041921,0.6562592310419398,-0.9466450214385986,0.001677656196989119,0.0014649915974587202,-0.32227054238319397,-0.08872079849243164,-0.0628659725189209,0.0
1709651572122934042,,121853351,1709651572,-0.0030295449923673427,0.00012725926581185943,0.6715106722499075,-0.9441605806350708,0.0014511544723063707,0.0004390141402836889,-0.32948213815689087,-0.08862662315368652,-0.06338834762573242,0.0
1709651572127389824,,126019954,1709651572,-0.0031992998733798143,-0.00040298089438936383,0.688815986995232,-0.9412744641304016,0.0014376795152202249,0.0007297624251805246,-0.3376387357711792,-0.08843398094177246,-0.06397414207458496,0.0
1709651572131079633,,130186557,1709651572,-0.0027100691216967003,0.0019049019119106846,0.7070283969794118,-0.938160240650177,0.0016009758692234755,-0.0004244439769536257,-0.34619754552841187,-0.0881648063659668,-0.0645456314086914,0.0
1709651572134913961,,134353399,1709651572,-0.002653801690790536,-0.0016160514972850667,0.723578464506666,-0.9352644085884094,0.00095500418683514,0.0012253711465746164,-0.3539467453956604,-0.08801054954528809,-0.06500577926635742,0.0
1709651572139013298,,138520002,1709651572,-0.0007483574449959675,0.0017218031391892413,0.7403574766799043,-0.9322622418403625,0.0006602913490496576,-0.0006672151503153145,-0.3617821931838989,-0.08781147003173828,-0.06546926498413086,0.0
1709651572143219827,,142686605,1709651572,-0.0028836481084037503,0.0032133362998819598,0.7580801013579831,-0.9290173053741455,0.0019339941209182143,-0.0009591095149517059,-0.37003010511398315,-0.0875093936920166,-0.06583094596862793,0.0
1709651572150775996,,146853208,1709651572,-0.002619488732335353,0.004201341137620783,0.7766939199982408,-0.925532341003418,0.002007649512961507,-0.0014482984552159905,-0.3786603808403015,-0.08723020553588867,-0.06624794006347656,0.0
1709651572152792661,,151020050,1709651572,-0.0032298385646334243,0.0036329489517597964,0.7922576321143009,-0.9225578308105469,0.0021907442715018988,-0.0010526914848014712,-0.3858513832092285,-0.08696627616882324,-0.06667613983154297,0.0
1709651572156108208,,155186653,1709651572,-0.002537452131075637,0.001470028560093205,0.8045333936733798,-0.9201745986938477,0.0014552121283486485,-0.0001796293945517391,-0.39150553941726685,-0.08680915832519531,-0.06679725646972656,0.0
1709651572160207158,,159353256,1709651572,-0.001697277736506268,0.004231867527248693,0.8215282740568982,-0.9168128967285156,0.0016229563625529408,-0.0016010504914447665,-0.3993106186389923,-0.08644819259643555,-0.06712865829467773,0.0
1709651572163902520,,163520097,1709651572,-0.0005089864647521595,0.003068391313552932,0.8336494719325666,-0.9143779277801514,0.000853835663292557,-0.0012998019810765982,-0.40485894680023193,-0.08621978759765625,-0.06732034683227539,0.0
1709651572168353947,,167686700,1709651572,-0.000746454540259007,0.003705445591729005,0.8503413736046946,-0.9109665155410767,0.001104201190173626,-0.0015338235534727573,-0.41247615218162537,-0.0858907699584961,-0.06752514839172363,0.0
1709651572174145425,,171853303,1709651572,-0.002373445408626229,0.0048574716747709695,0.8623260132884156,-0.9084758758544922,0.002093144692480564,-0.0017104923026636243,-0.4179287254810333,-0.08557295799255371,-0.06773710250854492,0.0
1709651572177425334,,176019906,1709651572,-0.00363037882791891,0.0031255919170869806,0.8740755643769829,-0.9060056805610657,0.002306039445102215,-0.0006476137787103653,-0.42325887084007263,-0.08516120910644531,-0.06793665885925293,0.0
1709651572181706757,,180186748,1709651572,-0.003609400446449213,0.003449838131218327,0.8844806327645309,-0.9037910103797913,0.0023692799732089043,-0.0007866226369515061,-0.42796680331230164,-0.08485984802246094,-0.06800675392150879,0.0
1709651572185387034,,184353351,1709651572,-0.0033576383324601237,0.004167000946471065,0.8944584829857197,-0.9016440510749817,0.0024147487711161375,-0.001152546494267881,-0.43247056007385254,-0.08472490310668945,-0.06808209419250488,0.0
1709651572189022452,,188519954,1709651572,-0.0019357170805452727,0.0061125095126176735,0.9038907805915677,-0.8995934128761292,0.002205394208431244,-0.002326721092686057,-0.43671682476997375,-0.08441281318664551,-0.0679311752319336,0.0
1709651572193101543,,192686557,1709651572,0.0008700321982960513,0.002633514911928174,0.9153182936778965,-0.8970886468887329,0.00019156030612066388,-0.0013734599342569709,-0.44184842705726624,-0.08406662940979004,-0.06780529022216797,0.0
1709651572197310198,,196853399,1709651572,-0.0017850088833706679,0.0030798304623319414,0.9257474489271666,-0.8947710394859314,0.0014861921081319451,-0.0009793518111109734,-0.4465217888355255,-0.08351516723632812,-0.06788372993469238,0.0
1709651572201631922,,201020002,1709651572,-0.0031544871250518574,0.002511433970847901,0.9349615863035382,-0.8927037715911865,0.00197388743981719,-0.0004102186649106443,-0.45063963532447815,-0.08308053016662598,-0.06784605979919434,0.0
1709651572205916383,,205186605,1709651572,-0.0011651146680009441,0.0022253417788506966,0.9429928034121113,-0.8908885717391968,0.0010243910364806652,-0.0007266575703397393,-0.45422014594078064,-0.0826559066772461,-0.06775569915771484,0.0
